State,Month,AQI
Selangor,January,61
Johor,January,34
Pulau Pinang,January,55
Negeri Sembilan,January,49
Terengganu,January,40
Pahang,January,43
Perlis,January,49
Kuala Lumpur,January,50
Kedah,January,49
Perak,January,47
Kelantan,January,51
Putrajaya,January,51
Melaka,January,39
Selangor,February,67
Johor,February,49
Pulau Pinang,February,62
Negeri Sembilan,February,59
Terengganu,February,51
Pahang,February,55
Perlis,February,55
Kuala Lumpur,February,58
Kedah,February,56
Perak,February,58
Kelantan,February,65
Putrajaya,February,62
Melaka,February,52
Selangor,March,67
Johor,March,47
Pulau Pinang,March,59
Negeri Sembilan,March,58
Terengganu,March,41
Pahang,March,52
Perlis,March,47
Kuala Lumpur,March,61
Kedah,March,52
Perak,March,56
Kelantan,March,52
Putrajaya,March,60
Melaka,March,55
Selangor,April,63
Johor,April,52
Pulau Pinang,April,47
Negeri Sembilan,April,58
Terengganu,April,44
Pahang,April,52
Perlis,April,37
Kuala Lumpur,April,58
Kedah,April,40
Perak,April,49
Kelantan,April,50
Putrajaya,April,57
Melaka,April,60
Selangor,May,64
Johor,May,45
Pulau Pinang,May,48
Negeri Sembilan,May,54
Terengganu,May,39
Pahang,May,46
Perlis,May,32
Kuala Lumpur,May,58
Kedah,May,39
Perak,May,50
Kelantan,May,44
Putrajaya,May,54
Melaka,May,55
Selangor,June,61
Johor,June,52
Pulau Pinang,June,51
Negeri Sembilan,June,54
Terengganu,June,47
Pahang,June,51
Perlis,June,46
Kuala Lumpur,June,56
Kedah,June,43
Perak,June,48
Kelantan,June,47
Putrajaya,June,53
Melaka,June,59
Selangor,July,62
Johor,July,49
Pulau Pinang,July,54
Negeri Sembilan,July,55
Terengganu,July,51
Pahang,July,55
Perlis,July,42
Kuala Lumpur,July,56
Kedah,July,45
Perak,July,54
Kelantan,July,55
Putrajaya,July,56
Melaka,July,60
Selangor,August,58
Johor,August,43
Pulau Pinang,August,43
Negeri Sembilan,August,48
Terengganu,August,46
Pahang,August,50
Perlis,August,30
Kuala Lumpur,August,50
Kedah,August,34
Perak,August,46
Kelantan,August,47
Putrajaya,August,49
Melaka,August,54
Selangor,September,60
Johor,September,46
Pulau Pinang,September,45
Negeri Sembilan,September,48
Terengganu,September,43
Pahang,September,43
Perlis,September,32
Kuala Lumpur,September,52
Kedah,September,37
Perak,September,46
Kelantan,September,47
Putrajaya,September,47
Melaka,September,49
Selangor,October,65
Johor,October,51
Pulau Pinang,October,48
Negeri Sembilan,October,54
Terengganu,October,45
Pahang,October,47
Perlis,October,37
Kuala Lumpur,October,55
Kedah,October,37
Perak,October,46
Kelantan,October,52
Putrajaya,October,53
Melaka,October,54
Selangor,November,59
Johor,November,42
Pulau Pinang,November,39
Negeri Sembilan,November,49
Terengganu,November,29
Pahang,November,34
Perlis,November,28
Kuala Lumpur,November,52
Kedah,November,31
Perak,November,39
Kelantan,November,36
Putrajaya,November,44
Melaka,November,46
Selangor,December,65
Johor,December,37
Pulau Pinang,December,49
Negeri Sembilan,December,50
Terengganu,December,40
Pahang,December,41
Perlis,December,42
Kuala Lumpur,December,56
Kedah,December,46
Perak,December,48
Kelantan,December,50
Putrajaya,December,49
Melaka,December,45
