State,January,February,March,April,May,June,July,August,September,October,November,December
Selangor,61,67,67,63,64,61,62,58,60,65,59,65
Johor,34,49,47,52,45,52,49,43,46,51,42,37
Pulau Pinang,55,62,59,47,48,51,54,43,45,48,39,49
Negeri Sembilan,49,59,58,58,54,54,55,48,48,54,49,50
Terengganu,40,51,41,44,39,47,51,46,43,45,29,40
Pahang,43,55,52,52,46,51,55,50,43,47,34,41
Perlis,49,55,47,37,32,46,42,30,32,37,28,42
Kuala Lumpur,50,58,61,58,58,56,56,50,52,55,52,56
Kedah,49,56,52,40,39,43,45,34,37,37,31,46
Perak,47,58,56,49,50,48,54,46,46,46,39,48
Kelantan,51,65,52,50,44,47,55,47,47,52,36,50
Putrajaya,51,62,60,57,54,53,56,49,47,53,44,49
Melaka,39,52,55,60,55,59,60,54,49,54,46,45
